Index,Artist,Title,Mood
ML645,Thousand Foot Krutch,Fire It Up,angry
ML1992,Unearth,Endless,angry
ML756,Ozzy Osbourne,Killer Of Giants,angry
ML1590,Austrian Death Machine,It's Not A Tumor ,angry
ML746,Audioslave,Original Fire,angry
ML1839,The Kills,Getting Down,angry
ML557,Jimmy Sommers,If I Knew ,angry
ML1617,OFF!,Poison City,angry
ML1940,3 Inches Of Blood,Trial Of Champions,angry
ML435,Black Sabbath,The Devil Cried,angry
ML1392,Mutemath,The Nerve,angry
ML112,Ooklah The Moc,Hell Fire,angry
ML951,Reckless Kelly,Some People's Kids,angry
ML877,Toots & The Maytals,Pressure Drop,angry
ML20,Spoon,You Got Yr. Cherry Bomb,angry
ML1909,The Temper Trap,Love Lost,angry
ML52,Chevelle,Send The Pain Below,angry
ML1482,Alice Cooper,You Drive Me Nervous,angry
ML1512,Jaill,The Stroller,angry
ML1139,Beck,Lost Cause,angry
ML574,Gravenhurst,The Velvet Cell,angry
ML1557,My Bloody Valentine,Soon,angry
ML325,The Museum,Never Look Away,angry
ML1976,Charles Brown,Trouble Blues,angry
ML1810,Yeah Yeah Yeahs,Dull Life,angry
ML521,Puddle Of Mudd,Away From Me,angry
ML386,Metric,Eclipse ,angry
ML216,Three Days Grace,Animal I Have Become,angry
ML1453,Thompson Square,Let's Fight,angry
ML1401,Balkan Beat Box,War Again,angry
ML168,Atreyu,Lip Gloss And Black,angry
ML1997,U2,The Refugee,angry
ML1272,Mnemic,Within,angry
ML209,Avenged Sevenfold,Scream,angry
ML50,Staind,Mudshovel,angry
ML1197,The Clash,Tommy Gun,angry
ML1378,Dixie Chicks,There's Your Trouble,angry
ML1280,The Prodigy,Shoot Down,angry
ML90,The Doors,Light My Fire,angry
ML1967,Love Is All,Bigger Bolder,angry
ML1728,Twisted Sister,Burn In Hell,angry
ML84,Supertramp,Bloody Well Right,angry
ML1600,Starfucker,The White Of Noon,angry
ML1660,The Damned Things,Handbook For The Recently Deceased,angry
ML961,My Darkest Days,Move Your Body,angry
ML1947,Dolly Parton,It's Sure Gonna Hurt ,angry
ML1699,Heart,How Can I Refuse,angry
ML1743,Chet Baker,Let's Get Lost,angry
ML636,Luciano,For The Leaders,angry
ML1582,Ben Harper & The Innocent Criminals,Fight Outta You,angry
ML1309,The Robert Cray Band,Smoking Gun,angry
ML1761,Smashing Pumpkins,I Am One,angry
ML1768,Mastodon,Iron Tusk,angry
ML1948,Arch Enemy,I Will Live Again,angry
ML97,Lynyrd Skynyrd,You Got That Right,angry
ML64,Nirvana,Come As You Are,angry
ML652,Britney Spears,Toxic,angry
ML37,Mavis Staples,You Are Not Alone,angry
ML685,Mint Condition,You Don't Have To Hurt No More,angry
ML1684,Smashing Pumpkins,Soma,angry
ML794,Tower Of Power,Give Me Your Love,happy
ML201,Jason Mraz,Lucky ,happy
ML269,Rebecca St. James,Song Of Love,happy
ML626,The Rolling Stones,I Just Want To Make Love To You,happy
ML583,Ted Weems,Heartaches,happy
ML533,Israel & New Breed,Friend Of God,happy
ML345,Fontella Bass,Rescue Me,happy
ML1355,Elvis Presley,Love Me Tender,happy
ML172,Buzzcocks,Love You More,happy
ML972,Stevie Wonder,For Your Love,happy
ML182,Tonex,God Has Not 4got,happy
ML1081,Baths,Maximalist,happy
ML189,The Art Of Noise,Moments In Love,happy
ML263,Carrie Rodriguez,Big Love,happy
ML1132,Whitney Houston,Miracle,happy
ML1563,Arc Angels,Shape I'm In,happy
ML1121,The Drums,I Need Fun In My Life,happy
ML1480,Aretha Franklin,See Saw,happy
ML1409,Mary Mary,Ordinary People,happy
ML875,The Honey Drippers,Sea Of Love,happy
ML1575,Shalamar,Somewhere There's A Love,happy
ML777,Robbie Seay Band,Song of Hope,happy
ML11,Deitrick Haddon,Love Him Like I Do ,happy
ML1045,Small Faces,Itchycoo Park,happy
ML515,John Coltrane,Acknowledgement,happy
ML1447,Lou Rawls,You've Made Me So Very Happy,happy
ML882,Jens Lekman,I'm Leaving You Because I Don't Love You,happy
ML1195,Jo Dee Messina,Because You Love Me,happy
ML1236,George Harrison,I Dig Love,happy
ML1398,Miss Kittin & The Hacker,Indulgence,happy
ML98,Bad Company,Feel Like Makin' Love,happy
ML978,Maze,Happy Feelin's ,happy
ML1009,Donald Byrd,Think Twice,happy
ML1298,Maps,It Will Find You,happy
ML350,The Beatles,Love Me Do ,happy
ML843,"Hamilton, Joe Frank & Reynolds",Fallin' In Love,happy
ML270,Aaron Shust,My Savior My God,happy
ML441,Lisa Stansfield,Change,happy
ML504,Aaron Shust,To God Alone,happy
ML511,Todd Agnew,Joy Unspeakable,happy
ML347,Three Dog Night,An Old Fashioned Love Song,happy
ML1014,Fats Domino,All By Myself,happy
ML1011,Inner City,Good Life,happy
ML945,Craig Morgan,God Must Really Love Me,happy
ML165,Lita Ford,Kiss Me Deadly,happy
ML852,Ronnie Milsap,"Happy, Happy Birthday Baby",happy
ML28,The Rolling Stones,Happy,happy
ML675,Incubus,Love Hurts,happy
ML968,Ann Hampton Callaway,What Is This Thing Called Love?,happy
ML568,Bonnie 'Prince' Billy,Love Comes To Me,happy
ML1569,Fleetwood Mac,Songbird,happy
ML440,Lionel Richie,Penny Lover,happy
ML332,Third Day,I Believe,happy
ML1274,Teddy Pendergrass,Joy,happy
ML1368,John Brown,Imma Love You Right,happy
ML253,Tank,Sex Music,happy
ML1540,Doors,Love Her Madly,happy
ML1264,Jars Of Clay,Love Came Down at Christmas,happy
ML1471,Gang Of Four,Natural's Not In It,happy
ML850,Willie Nelson,Let It Be Me,happy
ML1327,Maysa,Out Of The Blue,happy
ML1098,Franz Ferdinand,Do You Want To,happy
ML1090,Crystal Gayle,A Long And Lasting Love,happy
ML24,Tarralyn Ramsey,Unconditional Love,happy
ML464,Counting Crows,Accidentally In Love,happy
ML1241,Israel Houghton,Others,happy
ML1562,Bobby Vinton,My Melody Of Love,happy
ML1436,Willie Nelson,Night Life,happy
ML330,Robbie Seay Band,Song Of Hope ,happy
ML485,Sidewalk Prophets,You Can Have Me,happy
ML1233,Third Day,Joy To The World,happy
ML117,The Babys,Every Time I Think Of You,happy
ML955,Chic,I Want Your Love,happy
ML427,Jack Ingram,Love You,happy
ML1399,The Concretes,You Can't Hurry Love,happy
ML268,Sidewalk Prophets,You Can Have Me,happy
ML402,Mark Chesnutt,Your Love Is A Miracle,happy
ML283,Sonicflood,I Could Sing Of Your Love Forever,happy
ML443,Jah Cure,Love Is,happy
ML329,Mark Schultz,Love Has Come,happy
ML321,Angel City,Love Me Right ,happy
ML1350,Marvin Gaye,Pride And Joy ,happy
ML1308,Ryan Adams & The Cardinals,Fix It,happy
ML1156,Billy Corgan,A100,happy
ML1360,The Whispers,My Heart Your Heart,happy
ML682,Ashanti,The Way That I Love You,happy
ML141,The Flying Lizards,Money ,happy
ML954,Christine McVie,Got A Hold On Me,happy
ML491,Stevie Wonder,Lookin' For Another Pure Love,happy
ML333,Fee,Glory To God Forever,happy
ML279,Third Day,I've Always Loved You,happy
ML556,Natalie Cole,Our Love,happy
ML653,Natasha Bedingfield,These Words,happy
ML91,Night Ranger,Don't Tell Me You Love Me,happy
ML1445,Kurt Elling,Say It ,happy
ML137,The Thompson Twins,King For A Day,happy
ML1362,U2,The Three Sunrises,happy
ML714,Nat King Cole,L-O-V-E,happy
ML1258,Luther Vandross,At Christmas Time,happy
ML281,DecembeRadio,Love Can,happy
ML614,Wilson Phillips,You're In Love,happy
ML1161,Billie Holiday,Prelude To A Kiss,happy
ML1137,Elbow,With Love,happy
ML944,Sammy Kershaw,Love Of My Life,happy
ML1473,Jackie Wilson,To Be Loved,happy
ML372,Kiss,Do You Love Me?,happy
ML1262,Rebecca St. James,Happy Xmas ,happy
ML1164,Roomful Of Blues,That's A Pretty Good Love,happy
ML610,Michael Jackson,One More Chance,happy
ML1118,The Everly Brothers,When Will I Be Loved,happy
ML1225,Delirious?,I Could Sing Of Your Love Forever,happy
ML203,Bobby Caldwell,What You Won't Do For Love,happy
ML414,Charley Pride,Kiss An Angel Good Mornin',happy
ML198,Sade,No Ordinary Love,happy
ML1317,Kenny Rogers,Love Lifted Me,happy
ML1044,Ohio Express,Yummy Yummy Yummy,happy
ML499,Curtis Mayfield,Give Me Your Love ,happy
ML563,Suuns,Organ Blues,happy
ML776,Chris Tomlin,Our God,happy
ML1353,Gloria Lynne,I'm Glad There Is You,happy
ML1135,Florence & The Machine,You've Got The Love,happy
ML1358,The Blackbyrds,Happy Music,happy
ML39,The Beach Boys,God Only Knows,happy
ML799,Joni Mitchell,Sometimes I'm Happy,happy
ML769,The Red Hot Chili Peppers,Behind The Sun,relaxed
ML1885,Wilson Phillips,Silent Night,relaxed
ML1431,Buffalo Springfield,I Am A Child,relaxed
ML1935,Cloud Nothings,Old Street,relaxed
ML1868,Toby Beau,My Angel Baby,relaxed
ML1679,Ricky Van Shelton,Blue Christmas,relaxed
ML447,Gwen Mccrae,Rockin' Chair,relaxed
ML153,Alias,More Than Words Can Say,relaxed
ML1785,The Flaming Lips,Sagittarius Silver Announcement,relaxed
ML960,Murder By Death,Comin' Home,relaxed
ML1722,Antony & The Johnsons,Shake That Devil,relaxed
ML71,Zac Brown Band,Free,relaxed
ML1687,Blonde Redhead,Here Sometimes,relaxed
ML1931,The Autumn Defense,Step Easy,relaxed
ML207,Enya,Caribbean Blue,relaxed
ML602,The Derek Trucks Band,Rastaman Chant,relaxed
ML111,Fiji,Anything You Want,relaxed
ML1006,Will Downing,Lover's Melody ,relaxed
ML1559,Elf Power,Let The Serpent Sleep,relaxed
ML1635,Jim Brickman,Sending You A Little Christmas,relaxed
ML1894,Dean Martin,Silent Night,relaxed
ML1870,Ann & Nancy Wilson,Blue Christmas,relaxed
ML1525,Lionel Richie,Deep River Woman,relaxed
ML1492,Patti LaBelle,Over The Rainbow,relaxed
ML930,Bo Diddley,Bo Diddley,relaxed
ML549,Maxwell,Fortunate,relaxed
ML1942,Serena Ryder,Little Bit Of Red,relaxed
ML1731,Dum Dum Girls,I Will Be,relaxed
ML202,Kenny G,What A Wonderful World ,relaxed
ML438,Scorpions,Coming Home,relaxed
ML581,Stacey Kent,What A Wonderful World,relaxed
ML1708,Natalie Merchant,"Crying, My Little One",relaxed
ML1755,Ella Fitzgerald,Rocks In My Bed,relaxed
ML1549,Motley Crue,Home Sweet Home,relaxed
ML322,MercyMe,Bless Me Indeed,relaxed
ML1576,Tiesto,Who Wants To Be Alone ,relaxed
ML680,Crocodiles,Sleep Forever,relaxed
ML1659,Ledisi,What A Wonderful World,relaxed
ML901,The Stylistics,You're A Big Girl Now,relaxed
ML1718,Huey Lewis And The News,Respect Yourself,relaxed
ML1167,The Doors,Waiting For The Sun,relaxed
ML1271,The Beatles,Two Of Us,relaxed
ML1324,Ray LaMontagne,Three More Days,relaxed
ML191,Sade,Never As Good As The First Time,relaxed
ML1863,Pink Floyd,Chapter 24,relaxed
ML252,Soul For Real,Candy Rain,relaxed
ML1564,Bob Dylan,"Corrina, Corrina",relaxed
ML1913,Tony Bennett,Lullaby Of Broadway ,relaxed
ML1005,Byron Cage,It Is To You,relaxed
ML108,Three Plus,Two Person Party,relaxed
ML753,The Statler Brothers,Bed Of Roses,relaxed
ML320,Yves Larock,Rise Up,relaxed
ML1207,Johnny O.,Fantasy Girl,relaxed
ML10,Beenie Man,Slam,relaxed
ML410,Dolly Parton,Love Is Like A Butterfly,relaxed
ML1697,Solomon Burke,None Of Us Are Free,relaxed
ML1744,Sarah Vaughan,Little Girl Blue,relaxed
ML1521,Band Of Horses,Is There A Ghost,relaxed
ML691,The Beatles,Golden Slumbers,relaxed
ML1415,Morphine,Honey White,relaxed
ML766,Dolores O'Riordan,The Journey,relaxed
ML582,Frank Sinatra,My Kind Of Girl,relaxed
ML548,Gerald Levert,Baby Hold On To Me,relaxed
ML1435,Jakob Dylan,Gimme Some Truth ,relaxed
ML1843,We Are Scientists,Pittsburgh,relaxed
ML1721,The Kinks,Set Me Free,relaxed
ML924,Wilson Pickett,Don't Let The Green Grass Fool You,relaxed
ML1833,Teddy Pendergrass,"Easy, Easy, Got To Take It Easy",relaxed
ML1644,Michael McDonald,I'll Be Home For Christmas,relaxed
ML1307,Z.Z. Hill,Down Home Blues,relaxed
ML1879,Echoing Angels,God Bless Us,relaxed
ML856,Billy Swan,I Can Help,relaxed
ML708,The Temptations,You're My Everything,relaxed
ML1634,Casting Crowns,Silent Night,relaxed
ML613,Bread,Make It With You,relaxed
ML1962,Gary Puckett & The Union Gap,This Girl Is A Woman Now,relaxed
ML1637,Josh Groban,Silent Night,relaxed
ML876,Emmylou Harris,Home Sweet Home,relaxed
ML1611,Kyle Riabko,What Did I Get Myself Into,relaxed
ML1815,Hannah Montana,Gonna Get This ,relaxed
ML997,Jack Johnson,From The Clouds,relaxed
ML1703,The Beatles,Her Majesty,relaxed
ML629,.38 Special,Fantasy Girl,relaxed
ML1536,Eric Clapton,Let It Grow,relaxed
ML919,Billie Holiday,Nice Work If You Can Get It,relaxed
ML460,Shania Twain,From This Moment On,relaxed
ML1627,"Harry Connick, Jr.",Blue Christmas,relaxed
ML1673,Brooks & Dunn,Blue Christmas,relaxed
ML1385,Stevie Wonder,Creepin',relaxed
ML1065,Jerzee Monet,Most High,relaxed
ML256,Point Of Grace,All The World,relaxed
ML1639,Vince Gill,Let There Be Peace On Earth,relaxed
ML1798,Serj Tankian,Sky Is Over,relaxed
ML642,Patricia Barber,Easy To Love,relaxed
ML848,The Oak Ridge Boys,Fancy Free,relaxed
ML1518,The Flamingos,I'll Be Home,relaxed
ML623,The Everly Brothers,All I Have To Do Is Dream,relaxed
ML1672,Elvis Presley,Blue Christmas ,relaxed
ML612,Elton John,Blue Eyes,relaxed
ML349,Billy Joel,Uptown Girl,relaxed
ML1173,Gene Vincent & His Blue Caps,Be-Bop-A-Lula,relaxed
ML1389,Carney,Love Me Chase Me,relaxed
ML115,The Beach Boys,Good Vibrations,relaxed
ML1310,Huey,When I Hustle ,relaxed
ML1888,Trans-Siberian Orchestra,This Christmas Day,relaxed
ML1829,John Pizzarelli,Happy Talk,relaxed
ML1427,Jermaine Jackson,Daddy's Home,relaxed
ML1625,CeCe Winans,Away In A Manger,relaxed
ML1764,Jenny Lewis,Pretty Bird,relaxed
ML1813,Belle & Sebastian,The Ghost Of Rockschool,relaxed
ML1669,Mudcrutch,Crystal River,relaxed
ML277,City On A Hill,God Of Wonders,relaxed
ML12,The Jackson 5,ABC,relaxed
ML965,Built To Spill,Goin' Against Your Mind,relaxed
ML1945,Kirk Whalum,Inside ,relaxed
ML494,Nina Simone,Feeling Good,relaxed
ML815,Fang Island,The Illinois,relaxed
ML949,Willie Nelson,Uncloudy Day,relaxed
ML1685,Moby,Nearer,relaxed
ML1670,Louis Armstrong,What A Wonderful World,relaxed
ML720,Nicki Minaj,Save Me,relaxed
ML943,The Cult,Sun King,relaxed
ML1739,Norah Jones,The Long Way Home,relaxed
ML1642,Sanctus Real,Silent Night,relaxed
ML1334,The Blues Brothers,Sweet Home Chicago,relaxed
ML1146,Roy Orbison,Only The Lonely ,sad
ML555,George Benson,Don't Let Me Be Lonely Tonight,sad
ML1028,Bloc Party,Like Eating Glass,sad
ML651,Olga Tanon,Asi Es La Vida,sad
ML1519,John Mayer,Perfectly Lonely,sad
ML1786,Lee Andrews & The Hearts,Long Lonely Nights,sad
ML1456,Magneto,La Puerta Del Colegio,sad
ML861,Egypt Central,You Make Me Sick,sad
ML1126,Sin Fang,Always Everything,sad
ML986,Serge Gainsbourg,Requiem Pour Un C...,sad
ML385,Cake,Sick Of You,sad
ML798,The Brian Setzer Orchestra,The Dirty Boogie,sad
ML1734,Frankie Ruiz,La Rueda,sad
ML1393,The Mars Volta,Asilos Magdalena,sad
ML998,Robbie Robertson,He Don't Live Here No More,sad
ML1452,Innerpartysystem,American Trash,sad
ML1977,Brett Dennen,Dancing At A Funeral,sad
ML1596,Matt & Kim,Don't Slow Down,sad
ML737,Tenacious D,The Metal,sad
ML1959,Zoe,Reptilectric,sad
ML150,Andrew Gold,Lonely Boy,sad
ML993,Green Day,Sassafrass Roots,sad
ML745,Miguel Aceves Mejia,Rogaciano,sad
ML1302,The Meters,Chicken Strut,sad
ML607,Aleks Syntek,Duele El Amor ,sad
ML710,Chalino Sanchez,El Crimen De Culiacan,sad
ML592,Alkaline Trio,This Addiction,sad
ML983,Silversun Pickups,Waste It On,sad
ML517,Soundgarden,Rhinosaur,sad
ML1796,Finger Eleven,Stay In Shadow,sad
ML1618,Cradle Of Filth,Nymphetamine,sad
ML1882,Bronco,Cinco Locos,sad
ML1416,Aventura,La Nina,sad
ML1612,Of Montreal,Doing Nothing,sad
ML294,Los Mier,Te Amo,sad
ML788,Patrulla 81,Como Me Haces Falta,sad
ML1220,La Mafia,Quiero Amanecer Contigo,sad
ML1859,Fruit Bats,Legs Of Bees,sad
ML1507,Waka Flocka Flame,Bang ,sad
ML572,Out Hud,It's For You,sad
ML77,Led Zeppelin,Rock And Roll,sad
ML590,Escape The Fate,Issues,sad
ML1895,Jerry Lee Lewis,"Another Place, Another Time",sad
ML1605,Menomena,Lunchmeat,sad
ML295,Camilo Sesto,Tarde O Temprano,sad
ML288,Juan Gabriel,Pero Que Necesidad,sad
ML1854,Hey Champ,Cold Dust Girl,sad
ML1275,Eva Cassidy,Time After Time,sad
ML1510,Mastodon,Colony Of Birchmen,sad
ML266,Ra Ra Riot,Foolish,sad
ML1018,Ricardo Montaner,Tan Enamorados,sad
ML888,Atreyu,Ex's And Oh's,sad
ML975,Bayside,"Sick, Sick, Sick",sad
ML1787,Kraftwerk,Neon Lights,sad
ML744,Duncan Dhu,En Algun Lugar,sad
ML1904,Asobi Seksu,Thursday,sad
ML641,Evans Blue,Cold ,sad
ML1020,Belinda,Bella Traicion,sad
ML1602,New York Dolls,Trash,sad
ML1279,Alejandra Guzman,Hasta El Final,sad
ML397,Victor Manuelle,Nunca Habia Llorado Asi ,sad
ML1217,Broken Bells,Sailing To Nowhere,sad
ML1148,Banda Maguey,Que Sacrificio,sad
ML502,David Bisbal,Esclavo De Sus Besos,sad
ML1726,Broadcast,Tender Buttons,sad
ML992,Johnny Cash,Rusty Cage,sad
ML879,Dan Deacon,Wet Wings,sad
ML1733,Bullet For My Valentine,Alone,sad
ML1969,The Smiths,London,sad
ML1553,Los Angeles Negros,A Ti,sad
ML1527,Deadmau5,Outta My Life,sad
ML1061,Loose Ends,Slow Down,sad
ML477,Train,Cab,sad
ML1594,Radiohead,Go To Sleep,sad
ML1723,Foxy Shazam,Unstoppable,sad
ML1257,The Chi-Lites,Toby,sad
ML529,La Oreja De Van Gogh,Vestido Azul,sad
ML1954,Aerosmith,Get A Grip,sad
ML1975,Tab Benoit,Can't You See,sad
ML1822,Azure Ray,The Drinks We Drank Last Night,sad
ML807,Warpaint,Composure,sad
ML433,Iron Maiden,Phantom Of The Opera,sad
ML743,Lhasa,De Cara A La Pared,sad
ML244,Banda El Recodo,Pena Tras Pena,sad
ML1143,Gloria Trevi,Me Rio De Ti,sad
ML250,Temple Of The Dog,Hunger Strike,sad
ML284,Nichole Nordeman,Time After Time ,sad
ML1322,The Pretenders,Kid,sad
ML1209,Andy Palacio & The Garifuna Collective,Baba ,sad
ML134,Janet Jackson,Nasty,sad
ML1129,Willie Nelson & Leon Russell,Heartbreak Hotel,sad
ML1613,Gold Motel,The Cruel One,sad
ML1086,El Guincho,Lycra Mistral,sad
ML1970,Jeru The Damaja,D. Original,sad
ML1243,Alejandro Sanz,Cuando Nadie Me Ve,sad
ML501,Jeremias,Hay Un Amor Afuera,sad
ML286,La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,sad
ML787,Monchy & Alexandra,Hasta El Fin,sad
ML755,Marilyn Manson,The Nobodies,sad
ML1100,36 Crazyfists,The All Night Lights,sad
ML393,Liquits,Desde Que,sad
ML1455,Frankie Ruiz,Lo Dudo,sad
ML1836,Los Traileros Del Norte,Anoche Estuve Llorando,sad
ML298,Los Humildes,Vestido Mojado,sad
ML1544,Red Hot Chili Peppers,Scar Tissue,sad
ML940,Jose Alfredo Jimenez,El Rey,sad
ML1719,Ted Leo & The Pharmacists,Army Bound,sad
ML304,Palomo,Baraja De Oro,sad
ML1202,Pendulum,Out Here,sad
ML941,Los Alegres De Teran,Hermosisimo Lucero,sad
ML854,Marty Robbins,Big Iron,sad
ML290,Los Pasteles Verdes,El Solitario,sad
ML1021,Braids,Lemonade,sad
ML1509,Korn,Blind,sad
ML1963,Cassandra Wilson,A Day In The Life Of A Fool,sad
ML237,Juvenile,Slow Motion ,sad
ML1426,Bobby Womack,If You Think You're Lonely Now,sad
ML1289,Greg Laswell,Off I Go,sad
ML1871,ZZ Top,Arrested For Driving While Blind,sad
ML1840,Slayer,Necrophobic,sad
ML603,Monchy & Alexandra,Dos Locos,sad
ML1939,Ruben Blades,El Padre Antonio Y El Monaguillo Andres,sad
ML57,Comeback Kid,Do Yourself A Favor,sad
ML760,Stevie Ray Vaughan & Double Trouble,Willie The Wimp ,sad
